wavelength_nm,importance_psi,importance_delta,importance_total
600,1.8491335166385104e-05,0.0016612600150100318,0.0016797513501764169
601,0.0019637988916190235,3.603610107615146e-06,0.0019674025017266386
602,1.6932045494260788e-06,0.00010394456684701302,0.0001056377713964391
603,0.002286149566149002,0.0045269505471199276,0.00681310011326893
604,6.380773088771075e-05,4.65878957261451e-05,0.00011039562661385586
605,1.0029164642603116e-06,4.557304575037131e-06,5.560221039297443e-06
606,0.004457445223129127,4.115276550993386e-06,0.004461560499680121
607,5.868473114165031e-06,3.632561460957862e-05,4.219408772374365e-05
608,2.2919306944661957e-06,9.825578896244394e-06,1.211750959071059e-05
609,3.856662991209784e-06,0.0036103990971023962,0.003614255760093606
610,0.00010835820529051391,1.188115976354652e-05,0.00012023936505406044
611,1.6376137537332487e-06,0.00011278292576481525,0.0001144205395185485
612,4.381894445026595e-05,5.734059074571414e-06,4.955300352483737e-05
613,0.002708102169254775,0.00013715226165134263,0.002845254430906118
614,0.002512672503413794,1.2099900854554502e-05,0.002524772404268348
615,4.919875096961309e-06,0.00038377586763989053,0.00038869574273685183
616,0.0007466855738270621,0.00039754538190907887,0.001144230955736141
617,1.8139533940867804e-05,0.00041560544787200683,0.0004337449818128746
618,1.1299787085511795e-05,0.00029530328699793726,0.00030660307408344903
619,2.4026564104900195e-06,0.001627356846826712,0.001629759503237202
620,0.0008078871407323782,0.0010735862055408795,0.0018814733462732577
621,1.0431377714990298e-05,0.0009987657007515484,0.0010091970784665387
622,7.2367941801643536e-06,3.1850176845150376e-05,3.908697102531473e-05
623,5.976684863931942e-06,0.00039657917682404226,0.0004025558616879742
624,0.004708272386266704,0.00021143078958063812,0.004919703175847342
625,1.1209522352378161e-05,7.127155663744023e-05,8.248107898981839e-05
626,0.0017262273454547064,0.0007564648612516853,0.0024826922067063915
627,0.002504394110130799,7.99959053225364e-05,0.0025843900154533354
628,5.009215899195392e-06,0.0008349156815157596,0.000839924897414955
629,5.748451675322484e-06,0.00034311419338500896,0.00034886264506033145
630,4.8967282526197337e-05,0.0023655263737675986,0.002414493656293796
631,1.515738403508544e-06,0.0029008177505990486,0.002902333489002557
632,6.347029329462895e-07,0.0015614657660607204,0.0015621004689936667
633,6.42504833858551e-06,0.001706631226655281,0.0017130562749938666
634,3.7178196152435043e-07,0.0015861176596513166,0.0015864894416128409
635,2.0217455062979997e-05,0.0009809748751441064,0.0010011923302070864
636,6.949954970213594e-05,0.001481233903236657,0.001550733452938793
637,1.4442448834949325e-06,2.133293804027089e-06,3.5775386875220216e-06
638,2.1373380519035616e-05,0.0065225529079431625,0.006543926288462198
639,0.00011835969193044031,0.002000954020693123,0.0021193137126235633
640,1.657609125324255e-05,0.0011519839320759124,0.001168560023329155
641,0.00030961825587113076,0.0021238122788845696,0.0024334305347557005
642,1.0656766849595455e-05,0.005186518772325747,0.0051971755391753425
643,1.9607443130492963e-06,0.0015699493087187749,0.001571910053031824
644,0.003981717517230389,0.0012502662758931418,0.00523198379312353
645,0.0024627808727249387,0.0007072675058534449,0.0031700483785783834
646,0.0022811676909132226,6.77256895546791e-05,0.002348893380467902
647,7.12394719457903e-05,0.0016480920968157745,0.0017193315687615647
648,0.00351618006099753,0.0014357382618111455,0.004951918322808675
649,0.0021623628589104212,0.0010767927169205616,0.003239155575830983
650,0.0026010878706130107,6.670601561774615e-06,0.0026077584721747853
651,3.325939858195832e-06,0.006744181870047116,0.006747507809905312
652,0.0010032097325184822,0.0013758780684207494,0.002379087800939232
