wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
130,MLP,3.9131,1.2278,1.9545,0.3049,1.3724,0.2681,0.9863,0.0037
125,Linear Regression,32280.4565,18310.8407,171.3261,54.1095,62.8239,23.7371,-111.2155,60.3552
125,Random Forest,3.5808,0.562,1.8864,0.1499,1.252,0.0888,0.9872,0.0026
125,MLP,5.4232,3.4889,2.1975,0.7709,1.5289,0.4506,0.9809,0.0125
120,Linear Regression,42610.2027,39635.5198,179.2079,102.4438,67.151,31.6085,-154.5552,145.6457
120,Random Forest,3.7142,1.26,1.9012,0.3158,1.26,0.1315,0.9868,0.0048
120,MLP,4.6534,2.1185,2.1079,0.4585,1.4294,0.1602,0.9839,0.0061
115,Linear Regression,15372.6509,11471.1313,112.5546,52.0012,36.6359,14.1809,-55.3107,44.8035
115,Random Forest,3.9201,1.2896,1.9568,0.3014,1.312,0.0841,0.986,0.0048
115,MLP,4.1184,2.1274,1.9531,0.5511,1.1504,0.2567,0.9855,0.0077
110,Linear Regression,5355.544,1489.3981,72.4957,9.9959,26.256,8.4067,-18.1963,6.2214
110,Random Forest,4.6062,1.0666,2.1327,0.2407,1.3621,0.0776,0.9835,0.0047
110,MLP,3.303,1.3934,1.7748,0.3913,1.2372,0.1818,0.9884,0.0047
105,Linear Regression,3078.8954,638.6838,55.166,5.9673,21.9086,3.2474,-10.0437,2.7667
105,Random Forest,3.5976,1.4537,1.8619,0.3618,1.2842,0.1375,0.9872,0.0054
105,MLP,3.7923,1.5326,1.8984,0.4342,1.3125,0.2673,0.9867,0.0054
100,Linear Regression,5917.0322,3140.8983,72.0558,26.9256,22.5785,7.1733,-20.1258,11.6559
100,Random Forest,3.0739,0.6414,1.7437,0.1826,1.2333,0.0927,0.9891,0.0025
100,MLP,4.3176,2.2888,2.016,0.5034,1.435,0.4438,0.9848,0.0078
95,Linear Regression,3194.4929,1758.9608,53.9598,16.8175,18.3538,5.8257,-10.516,6.6239
95,Random Forest,3.9428,1.0373,1.9688,0.2582,1.3049,0.084,0.9859,0.0042
95,MLP,4.7225,1.9745,2.1306,0.4277,1.485,0.2585,0.9837,0.0053
90,Linear Regression,5868.2111,3182.0836,73.9631,19.9416,22.0242,6.506,-20.4038,12.6107
90,Random Forest,3.8253,1.3145,1.927,0.3348,1.2916,0.1491,0.9863,0.0052
90,MLP,3.6995,2.1773,1.8436,0.5483,1.2679,0.3068,0.9874,0.0064
85,Linear Regression,1580.2007,1290.4881,36.8215,14.9793,13.2397,3.4568,-4.8805,5.0654
85,Random Forest,3.8742,1.1891,1.9457,0.2973,1.2931,0.0985,0.9862,0.0046
85,MLP,5.8768,4.7016,2.2805,0.8222,1.5824,0.4896,0.9804,0.0135
80,Linear Regression,3000.463,2080.1564,51.5622,18.4879,16.4905,5.8953,-10.0094,8.2345
80,Random Forest,3.7488,1.2439,1.9104,0.3147,1.255,0.0947,0.9866,0.0049
80,MLP,5.3091,2.2815,2.2475,0.5078,1.5468,0.3066,0.9813,0.0076
75,Linear Regression,2385.6374,2509.5408,42.3546,24.3254,13.909,6.3106,-7.7834,9.7366
75,Random Forest,3.7812,1.1565,1.9196,0.3107,1.2689,0.098,0.9864,0.0047
75,MLP,3.8196,1.1934,1.9295,0.3108,1.347,0.183,0.9866,0.0039
70,Linear Regression,3327.6699,3750.1703,49.222,30.081,15.1906,8.1587,-11.5577,14.5201
70,Random Forest,4.7678,0.9507,2.1738,0.206,1.3541,0.0582,0.983,0.0038
70,MLP,5.6406,3.3156,2.2794,0.6671,1.5662,0.3035,0.9807,0.0096
65,Linear Regression,389.5309,497.0238,16.4452,10.9127,7.255,2.381,-0.4537,1.928
65,Random Forest,3.5836,0.618,1.8856,0.1678,1.2419,0.0605,0.9872,0.0028
65,MLP,4.3336,1.9588,2.0153,0.5216,1.3717,0.2899,0.9851,0.0059
60,Linear Regression,1105.7283,1129.2847,29.3839,15.5665,9.3823,3.992,-3.1592,4.4015
60,Random Forest,3.2578,0.6714,1.7959,0.181,1.2192,0.0719,0.9883,0.003
60,MLP,4.7748,1.7275,2.1491,0.3949,1.5641,0.2162,0.9834,0.0048
55,Linear Regression,2157.511,1028.8722,44.0691,14.6774,11.5376,2.8061,-6.6185,3.5506
55,Random Forest,3.4764,0.9149,1.8496,0.2358,1.2472,0.059,0.9876,0.0035
55,MLP,5.1839,0.676,2.2722,0.1455,1.6065,0.1171,0.9815,0.0033
50,Linear Regression,1478.8821,1947.6786,30.284,23.7015,9.6113,5.3004,-4.6179,7.4927
50,Random Forest,2.8762,0.9619,1.6734,0.2753,1.1601,0.0771,0.9896,0.004
50,MLP,4.5444,2.0628,2.0725,0.499,1.4913,0.2502,0.9843,0.0063
