wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
95,Linear Regression,1318839084.6457,2427488398.4205,22709.5465,28339.2939,4485.6753,5895.6888,-5020344.5594,9351705.8272
95,Random Forest,3.3847,0.8755,1.8254,0.2296,1.1271,0.0518,0.9879,0.0035
95,MLP,3.9612,2.371,1.9019,0.5866,1.2925,0.354,0.9866,0.0068
90,Linear Regression,3770683240.0074,4665314611.1569,41590.2713,45176.6817,12384.5723,14322.4265,-13251937.81,17045381.8065
90,Random Forest,3.2923,1.044,1.7934,0.2759,1.1086,0.0749,0.9882,0.004
90,MLP,3.1248,1.9635,1.6815,0.5452,1.1936,0.3203,0.9893,0.0061
85,Linear Regression,867276933.3971,1020803731.9515,21293.9094,20343.214,4471.5485,4357.266,-3172612.197,3787590.2326
85,Random Forest,3.2035,1.3087,1.7514,0.3689,1.068,0.0904,0.9885,0.005
85,MLP,5.0817,5.1371,2.0496,0.9386,1.4141,0.5083,0.9832,0.015
80,Linear Regression,19009115.9603,33812687.6731,2943.975,3215.9178,603.8227,715.6247,-72498.1858,130207.9501
80,Random Forest,3.5662,1.5171,1.8465,0.396,1.0938,0.1,0.9872,0.0057
80,MLP,5.0059,1.7102,2.2021,0.3959,1.4955,0.2208,0.9823,0.006
75,Linear Regression,27645827.6469,47984746.1362,3592.47,3839.269,704.7421,791.0798,-104894.3178,185011.7279
75,Random Forest,2.9829,0.9524,1.7062,0.2679,1.0824,0.0739,0.9893,0.0036
75,MLP,3.7936,2.0727,1.887,0.4825,1.308,0.2353,0.987,0.0058
70,Linear Regression,5739091.1307,7513235.4143,1868.2338,1499.5979,359.4633,306.3255,-20627.6872,26754.1645
70,Random Forest,3.4017,1.4058,1.8057,0.3759,1.0655,0.0784,0.9877,0.0054
70,MLP,3.5615,3.1321,1.746,0.7163,1.1517,0.3199,0.9881,0.0092
65,Linear Regression,241323596.671,478317046.1658,7785.3482,13442.9145,1461.8491,2550.66,-926542.3259,1838714.6245
65,Random Forest,3.2061,1.0059,1.7695,0.2741,1.1024,0.0684,0.9885,0.004
65,MLP,2.7839,1.0875,1.64,0.3072,1.1702,0.1315,0.9904,0.0029
60,Linear Regression,495647.4451,883210.3254,471.0973,523.1776,102.2004,135.1028,-1884.2145,3403.5215
60,Random Forest,2.916,0.8649,1.6878,0.2596,1.0736,0.0528,0.9896,0.0034
60,MLP,3.9307,1.9691,1.9237,0.4798,1.348,0.3165,0.9865,0.0056
55,Linear Regression,229571.7198,310049.0851,338.0927,339.507,50.849,46.8565,-823.61,1106.9365
55,Random Forest,3.3075,0.9913,1.7979,0.2738,1.111,0.0541,0.9881,0.004
55,MLP,4.0795,1.0364,2.0021,0.2666,1.4299,0.178,0.9856,0.0035
50,Linear Regression,169667.6425,202204.7366,291.8719,290.6518,48.7945,49.7671,-618.3138,737.0506
50,Random Forest,2.5073,0.7057,1.5697,0.2087,1.0309,0.07,0.9911,0.0026
50,MLP,3.9943,1.1604,1.9796,0.2748,1.382,0.1572,0.9861,0.0028
