wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
65,Linear Regression,292.6318,245.5001,15.893,6.3279,6.1705,1.0884,-0.0626,0.9591
65,Random Forest,4.0475,2.6851,1.9126,0.624,1.1983,0.2258,0.9854,0.0106
65,MLP,3.2358,1.2204,1.7695,0.3234,1.3078,0.2114,0.9888,0.0033
60,Linear Regression,163.6431,103.9774,11.9665,4.5216,5.2186,0.8208,0.4282,0.3686
60,Random Forest,2.7133,0.5525,1.6393,0.1611,1.1395,0.0875,0.9903,0.0025
60,MLP,4.7419,1.5255,2.1514,0.3366,1.498,0.1981,0.9836,0.0038
55,Linear Regression,268.4282,473.1166,11.4077,11.7598,5.118,2.8698,-0.0176,1.8194
55,Random Forest,2.6828,0.3246,1.6346,0.1042,1.0835,0.0746,0.9904,0.0017
55,MLP,4.2774,1.5214,2.0353,0.3673,1.4776,0.2419,0.9849,0.0055
50,Linear Regression,129.3457,106.33,10.2733,4.8791,4.7162,0.9448,0.5447,0.3928
50,Random Forest,3.5402,1.6564,1.8254,0.4564,1.1566,0.1345,0.9874,0.0064
50,MLP,5.179,0.5425,2.2727,0.1177,1.6862,0.0772,0.9817,0.0014
