wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
135,MLP,3.0335,1.5051,1.6866,0.4346,1.1053,0.1677,0.9893,0.0055
130,Linear Regression,8342.3789,4449.2729,88.1977,23.7393,37.3096,11.1578,-29.2877,17.3677
130,Random Forest,3.6951,0.8231,1.9106,0.2119,1.2813,0.0683,0.9868,0.0035
130,MLP,3.1109,1.3871,1.7211,0.3855,1.195,0.1978,0.9892,0.0044
125,Linear Regression,61346.8502,52087.0684,222.4145,108.9891,84.9299,46.9255,-227.7448,201.8554
125,Random Forest,3.9039,0.9596,1.9621,0.2321,1.2607,0.0577,0.9861,0.0037
125,MLP,4.4314,2.2751,2.0382,0.5265,1.3389,0.2927,0.9842,0.0087
120,Linear Regression,54304.1721,29845.6815,222.8132,68.2528,80.6462,17.0448,-186.646,99.5931
120,Random Forest,3.9039,0.5167,1.9716,0.1295,1.2685,0.0862,0.9861,0.0022
120,MLP,4.1344,2.3229,1.9478,0.5835,1.334,0.2882,0.9857,0.0072
115,Linear Regression,44119.1599,44030.4321,187.1829,95.2981,61.4305,29.7725,-157.5758,157.8346
115,Random Forest,3.5902,0.9181,1.8813,0.2254,1.2561,0.0853,0.9872,0.0034
115,MLP,4.3616,2.1318,2.0203,0.5292,1.2632,0.2296,0.9846,0.0081
110,Linear Regression,12056.49,3995.9961,108.2036,18.6672,40.1954,11.357,-42.6452,16.5799
110,Random Forest,3.4059,0.957,1.8265,0.2638,1.2306,0.1041,0.9879,0.0037
110,MLP,2.9774,1.5305,1.664,0.4568,1.1459,0.2288,0.9897,0.0051
105,Linear Regression,12257.504,14835.8504,96.1593,54.8715,32.4669,14.6148,-41.8468,51.4707
105,Random Forest,2.97,0.5812,1.7144,0.1751,1.2133,0.1064,0.9895,0.0019
105,MLP,3.8199,1.9597,1.8795,0.5362,1.3597,0.3876,0.9866,0.0069
100,Linear Regression,5529.3177,5954.5993,61.1288,42.339,23.2543,12.8812,-18.5069,20.9564
100,Random Forest,3.1762,0.5687,1.7746,0.1645,1.2041,0.0699,0.9888,0.0019
100,MLP,2.4956,0.9263,1.5533,0.2879,1.0689,0.1591,0.9913,0.0026
95,Linear Regression,3695.494,1435.3671,59.6243,11.8504,21.5175,3.9327,-11.9482,4.8055
95,Random Forest,3.0831,0.5655,1.7482,0.1644,1.2265,0.0735,0.9891,0.002
95,MLP,4.8507,2.294,2.1411,0.516,1.4737,0.2553,0.9834,0.0065
90,Linear Regression,4206.8589,4275.0138,58.2765,28.4729,21.7335,9.9671,-14.5889,16.6154
90,Random Forest,3.4513,0.8026,1.843,0.2338,1.2305,0.1125,0.9878,0.0028
90,MLP,3.9066,1.8562,1.9239,0.453,1.3502,0.2738,0.9865,0.0054
85,Linear Regression,7860.5939,7807.8504,77.824,42.4737,23.1703,11.2483,-27.2291,27.2715
85,Random Forest,3.0987,0.6542,1.7505,0.1853,1.2069,0.0892,0.989,0.0024
85,MLP,5.2931,5.0317,2.1039,0.9309,1.3931,0.4738,0.9824,0.0148
80,Linear Regression,5492.919,4523.9167,67.0678,31.5409,22.1043,11.2438,-18.4747,15.8974
80,Random Forest,3.3083,0.7105,1.8065,0.2122,1.2223,0.1239,0.9883,0.0026
80,MLP,4.3312,2.1817,2.0164,0.5151,1.3677,0.2476,0.9849,0.0073
75,Linear Regression,1784.9598,1282.6749,38.4154,17.5847,12.9031,3.8959,-5.3044,4.8163
75,Random Forest,3.1558,0.91,1.7574,0.2592,1.2085,0.082,0.9888,0.0033
75,MLP,3.5922,1.4426,1.8567,0.3809,1.3082,0.1888,0.9874,0.0047
70,Linear Regression,2889.1378,4944.3383,35.1186,40.6918,12.1051,10.1082,-9.0765,17.1831
70,Random Forest,2.933,0.8182,1.6934,0.2559,1.1811,0.1492,0.9897,0.0027
70,MLP,4.2096,2.2605,1.9817,0.5316,1.3381,0.2346,0.9855,0.0067
65,Linear Regression,2069.3669,2695.119,36.5367,27.1005,11.675,7.5635,-6.3445,9.332
65,Random Forest,3.0715,0.549,1.7456,0.1568,1.163,0.1,0.9891,0.0019
65,MLP,4.3076,1.4474,2.0488,0.3317,1.4223,0.1803,0.9851,0.0037
60,Linear Regression,1280.8139,1901.1054,27.3276,23.1088,9.4217,5.4671,-3.4884,6.5971
60,Random Forest,2.9488,0.4832,1.7107,0.1491,1.2094,0.0888,0.9896,0.0015
60,MLP,3.9151,1.7215,1.9372,0.4031,1.407,0.2265,0.9865,0.0046
55,Linear Regression,4206.9654,3451.3256,54.4014,35.3192,13.6984,6.5425,-13.1525,11.6331
55,Random Forest,2.9331,0.4075,1.7084,0.1208,1.1852,0.0932,0.9896,0.0014
55,MLP,4.3623,0.7646,2.0808,0.1803,1.4571,0.1019,0.9846,0.0023
50,Linear Regression,4523.7582,4978.5153,55.0946,38.5791,14.5409,9.5773,-15.1121,17.2443
50,Random Forest,3.1216,0.6786,1.7553,0.2017,1.2143,0.1069,0.989,0.0024
50,MLP,4.0223,2.0019,1.948,0.4769,1.4319,0.263,0.9862,0.0057
