wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
200,Random Forest,3.0747,0.8154,1.7377,0.235,1.1644,0.0957,0.9891,0.0031
200,MLP,4.1218,1.9588,1.9806,0.4459,1.3303,0.2637,0.9852,0.0079
195,Linear Regression,4322.7122,1262.423,64.9071,10.4775,31.865,5.3872,-14.6078,5.0934
195,Random Forest,3.5146,1.1583,1.8488,0.3106,1.2027,0.074,0.9874,0.0047
195,MLP,3.6186,2.4363,1.8128,0.5765,1.2775,0.3499,0.9878,0.0069
190,Linear Regression,3842.512,2058.8644,59.6568,16.8399,27.5097,8.1036,-12.4444,7.2315
190,Random Forest,3.5121,1.1981,1.8442,0.3334,1.235,0.1285,0.9875,0.0047
190,MLP,2.8746,0.7652,1.68,0.2284,1.1875,0.1356,0.9899,0.0028
185,Linear Regression,3479.4081,1816.5937,56.9786,15.2594,27.3172,6.9737,-11.6642,7.1313
185,Random Forest,3.1908,0.9769,1.7657,0.2701,1.193,0.0803,0.9886,0.0037
185,MLP,3.1418,1.0358,1.7468,0.3006,1.2638,0.2195,0.989,0.0035
180,Linear Regression,5278.1675,1837.2309,71.4929,12.92,35.4859,7.7999,-17.9056,7.2399
